Title,Price,Link,Description,Main image
"10"" Taper Beeswax Candles & Antique Stands | Set of 2",1700,https://beeluxxcandles.com//collections/luxury-beeswax-candles/products/10inch-taper-dinner-table-candles,"Two 10"" Natural Beeswax Taper Candles with Antique Candle Stands
Slow burning, handmade, 10"" pure beeswax taper candle, with an antique brushed brass candle stand. Its tall, yet simple design is always perfect for mantelpieces and dining tables.
The earthy golden tone of this beeswax taper candle and a bright golden flame creates a romantic and cosy ambiance, for intimate or dining. 
All stand alone candles within the Aesthetic Collection are designed to have minimal to zero wax dripping, giving a clean and no drama burn. 
Candle Details:
- Burn Time: 8+hrs
- Scent Throw: Very subtle natural honey-like scent
- Size: H: 255mm Ø: 22mm / H: 10.4"" Ø: 0.87"" | 50g approx. (each)
- Pure cotton wicks
Stand Details:
- Size: Height: 70mm Base Ø: 50mm /  44g approx.
- Antique finish gold coloured brass
 

Candle Care & Advice
Only burn candle for 2-3 hours each lighting, to avoid dripping and ensure an even burn. Always burn candles safely - see full candle safety advice here. Always trim the wick(s) to 1cm every 4 hours of candle burn time, to avoid smoking. Always re-centre the wick(s) after each burn.


Benefits Of Beeswax

Beeswax has many benefits. It gives a pure clean burn and the candle flames light spectrum is similar to the Sun's rays! It also is the only candle wax with the ability to purify the air of dust and other pollutants by releasing negative ions! Negative ions have also been proven to improve mood!




View our complete luxury beeswax candle collection",//beeluxxcandles.com/cdn/shop/files/IMG_09082_720x.jpg?v=1690373468
"10"" Taper Beeswax Candles | Set Of 4",1600,https://beeluxxcandles.com//collections/luxury-beeswax-candles/products/10-tall-taper-beeswax-candles-set-of-4,"Pack of 4, 10"" Pure Beeswax Taper / Dinner Table Candles
Slow burning, handmade, 10"" pure beeswax taper candles. Its tall, yet simple design provides perfect décor for mantelpieces and dining tables.
The earthy golden tone of this beeswax taper candle and a bright golden flame creates a romantic and cosy ambiance, for intimate or dining. 
All stand alone candles within the Aesthetic Collection are designed to have minimal to zero wax dripping, giving a clean and relaxing burn. 
 
Candle Details:
- Burn Time: 8+hours (each)
- Subtle natural honey-like scent
- Size: H: 255mm Ø: 22mm / H: 10.4"" Ø: 0.87"" | 50g approx. (each)
- Pure cotton wicks
 

Candle Care & Advice
Only burn candle for 2-3 hours each lighting, to avoid dripping and ensure an even burn. Always burn candles safely - see full candle safety advice here. Always trim the wick(s) to 1cm every 4 hours of candle burn time, to avoid smoking. Always re-centre the wick(s) after each burn.


Benefits Of Beeswax

Beeswax has many benefits. It gives a pure clean burn and the candle flames light spectrum is similar to the Sun's rays! It also is the only candle wax with the ability to purify the air of dust and other pollutants by releasing negative ions! Negative ions have also been proven to improve mood!




View our complete luxury beeswax candle collection",//beeluxxcandles.com/cdn/shop/files/0495BAEA-1462-4065-8C0B-F3EF038A2FA4_720x.jpg?v=1713613705
100% Lavender Natural Essential Oil | 13oz Boutique Candle | Spring Scents Collection,6000,https://beeluxxcandles.com//collections/luxury-beeswax-candles/products/100-lavender-natural-essential-oil-boutique-candle-spring-scents-collection,"The Boutique Candle
Sophisticated, elegant and opulent.
Holding 13oz of pure scented beeswax and burning 45-55 hours of exquisite home fragrance, whilst adding a pop of beauty and chic style to any home décor design. Making this the perfect candle for your Queen-time! 


 Pure and natural essential oil with an identical to freshly picked lavender flowers. Bursting with floral aroma, this essential oil scent is just like walking through a lavender field in the heart of spring. 
 

- Burn Time: 45-55 hours
- Scent Throw: Medium-Large Room
- Size : H: 10.5mm Ø:9.5mm  | Wax: 13oz
- Pure cotton wicks
- Includes white velvet dust bag
- View our complete luxury beeswax candle collection




Candle Care & Advice
Only burn candle for 2-3 hours each lighting, to avoid dripping and ensure an even burn. Always burn candles safely - see full candle safety advice here. Always trim the wick(s) to 0.5mm before lighting, to avoid smoking. Always re-centre the wick(s) after each burn.


Benefits Of Beeswax

Beeswax has many benefits. It gives a pure clean burn and the candle flames light spectrum is similar to the Sun's rays making it great for SAD syndrome. It also is the only candle wax with the ability to purify the air of dust and other pollutants by releasing negative ions which have also been proven to improve mood! Which explains it's notable calming effects. The Egyptians believed beeswax to be magical and it's widely used in Religious ceremonies!


Refillable Candles
We also offer candle refills, saving you up to 50% in cost and making it a completely zero-waste product! Simply select the refill option above to get a new refill in a new each month- each scent is inspired by the month and season!",//beeluxxcandles.com/cdn/shop/products/IMG-1249_d0bea3d5-810b-45f3-b93e-3b9140724a14_720x.jpg?v=1679083216
Alpine Fir - Pure EO | 6oz Obere | Winter Essentials Collection,3300,https://beeluxxcandles.com//collections/luxury-beeswax-candles/products/alpine-fir-pure-eo-6oz-obere-winter-essentials-collection,"Fill your home with the evergreen mountain peak scent of sweet Alpine Fir with this complex layered pure essential oil scent! 

Experience the bright refreshing aroma of Alpine Fir, an extraordinary fusion of Sweet Pine Needle, Eucalyptus and Peppermint and other classic Yuletide spices, enveloping you in a comforting, festive embrace!
This beautiful amber vessel, the golden glow of the beeswax flame, make a cosy hygge décor statement piece! 

 


Paraben Free | phthalate Free | 100% Natural

Individually hand-poured pure beeswax candles, with natural essential oils.

A heart warming luxury gift to give to someone special, who appreciates natural luxury and eco-friendly products! 


- Free Delivery
- Refillable: 6oz ""Obere"" Vessel
- Burn Time: 30+ hours

- Scent Throw: Bedroom/Medium Room
- Size : 165ml | H: 83.5mm Ø:70mm  | Wax amount: 6oz
- Pure locally sourced beeswax and cotton wicks
- View our complete luxury beeswax candle collection



Candle Care & Advice
Always burn candles for 2-4 hours each lighting, to avoid tunnelling and ensure an even burn. Always burn candles safely - see full candle safety advice here. Always trim the wick(s) to 0.5cm every 4 hours of candle burn time, to avoid smoking. Always re-centre the wick(s) after each burn.


Benefits Of Beeswax

Beeswax has so many benefits. Beeswax has so many benefits. Beeswax is the most sustainable, renewable and eco-friendly candle wax - unlike other waxes it requires no pesticides, deforestation or processing to convert into a wax! It's all natural, organic and gives a pure and longer burn with a candle flame with the light spectrum is similar to the Sun! It also is the only candle wax that able to purify the air of dust and other pollutants by releasing negative ions! Negative ions have also been proven to improve mood!


Refills
We also offer refills, saving you up to 50% in cost and making it a completely zero-waste product! Simply select the refill option above to get a new refill in a new each month- each scent is inspired by the month and season!",//beeluxxcandles.com/cdn/shop/files/FullSizeRender_720x.heic?v=1702928777
Alpine Fir EO | Classic 9oz | Winter Essentials Collection,4500,https://beeluxxcandles.com//collections/luxury-beeswax-candles/products/christmas-candle-alpine-fir-9oz-large-luxe-classic-vessel,"Fill your home with the evergreen mountain peak scent of sweet Alpine Fir with this complex layered pure essential oil scent! 

Also a heart warming luxury gift to give to someone special, who appreciates natural luxury and eco-friendly products!
This beautiful electroplated real gold vessel, with internal silver lining and golden glow of the beeswax flame, make a cosy hygge décor statement piece! 


Paraben Free | phthalate Free | 100% Natural


Individually hand-poured pure beeswax candles, with natural essential oils.


A heart warming luxury gift to give to someone special, who appreciates natural luxury and eco-friendly products! 

- Burn Time: 40+ hours

- Scent Throw: Medium - Bedroom/Medium Size Room
- Size : H: 100mm Ø: 80mm  | Wax amount approx.: 9oz
- Pure cotton wicks
- 100% natural candle
- Clean burn and non-toxic. Free from parabens, phthalates, CLP compliant and safety tested
- View our complete luxury beeswax candle collection



Candle Care & Advice
Always burn candles for 2-4 hours each lighting, to avoid tunnelling and ensure an even burn. Always burn candles safely - see full candle safety advice here. Always trim the wick(s) to 0.5cm every 4 hours of candle burn time, to avoid smoking. Always re-centre the wick(s) after each burn.


Benefits Of Beeswax

Beeswax has so many benefits. Beeswax has so many benefits. Beeswax is the most sustainable, renewable and eco-friendly candle wax - unlike other waxes it requires no pesticides, deforestation or processing to convert into a wax! It's all natural, organic and gives a pure and longer burn with a candle flame with the light spectrum is similar to the Sun! It also is the only candle wax that able to purify the air of dust and other pollutants by releasing negative ions! Negative ions have also been proven to improve mood! The Egyptians believed beeswax to be magical and beeswax candles widely used in Religious and Spiritual ceremony! 


Refills
We offer refills!!!!, saving you up to 50% in cost and making it a completely zero-waste product! Simply select the refill option above to get a new refill in a new each month- each scent is inspired by the month and season!",//beeluxxcandles.com/cdn/shop/files/9ozgoldchristmas3_c87ef06e-7811-4677-add5-a864238f388f_720x.jpg?v=1699209390
Autumn Sun | 13oz Vogue | Autumn Scents Collection,4500,https://beeluxxcandles.com//collections/luxury-beeswax-candles/products/autumn-sun-13oz-vogue-autumn-scents-collection,"The White Gloss Vogue Candle
Simple, elegant and opulent.
This 13oz beeswax candle will fill your home with 45+ hours of luxurious fragrance while showcasing sleek, beautiful style. The perfect candle for enhancing your relaxation time!



- Burn Time: 45+ hours
- Scent Throw: Medium-Large Room
- Size : H: 10.5mm Ø:9.5mm  | Wax: 13oz / 450ml+
- Pure cotton wicks
- View our complete luxury beeswax candle collection





Candle Care & Advice
Always burn candles for 2-4 hours each lighting, to avoid tunnelling and ensure an even burn. Always burn candles safely - see full candle safety advice here. Always trim the wick(s) to 0.5cm every 4 hours of candle burn time, to avoid smoking. Always re-centre the wick(s) after each burn.


Benefits Of Beeswax

Beeswax has so many benefits. Beeswax has so many benefits. Beeswax is the most sustainable, renewable and eco-friendly candle wax - unlike other waxes it requires no pesticides, deforestation or processing to convert into a wax! It's all natural, organic and gives a pure and longer burn with a candle flame with the light spectrum is similar to the Sun! It also is the only candle wax that able to purify the air of dust and other pollutants by releasing negative ions! Negative ions have also been proven to improve mood!




Refills
We also offer refills, saving you up to 50% in cost and making it a completely zero-waste product! Simply select the refill option above to get a new refill in a new each month- each scent is inspired by the month and season!",//beeluxxcandles.com/cdn/shop/files/IMG-1825_1627feaa-92a2-4f73-aa90-f60c4cd19f43_720x.jpg?v=1693688574
Autumn Sun | 6oz Obere | Autumn Scents Collection,2700,https://beeluxxcandles.com//collections/luxury-beeswax-candles/products/autumn-sun-6oz-obere-autumn-scents-collection,"Enjoy the blissful aroma of natural beeswax candles, expertly scented with premium oils for a tranquil, therapeutic escape.


 
- Free Delivery
- Refillable: Obere Vessel
- Burn Time: 30+ hours

- Scent Throw: Bedroom/Medium Room
- Size : 165ml | H: 83.5mm Ø:70mm  | Wax amount: 6oz
- Pure locally sourced beeswax and cotton wicks
- View our complete luxury beeswax candle collection





Candle Care & Advice
Always burn candles for 2-4 hours each lighting, to avoid tunnelling and ensure an even burn. Always burn candles safely - see full candle safety advice here. Always trim the wick(s) to 0.5cm every 4 hours of candle burn time, to avoid smoking. Always re-centre the wick(s) after each burn.


Benefits Of Beeswax

Beeswax has so many benefits. Beeswax has so many benefits. Beeswax is the most sustainable, renewable and eco-friendly candle wax - unlike other waxes it requires no pesticides, deforestation or processing to convert into a wax! It's all natural, organic and gives a pure and longer burn with a candle flame with the light spectrum is similar to the Sun! It also is the only candle wax that able to purify the air of dust and other pollutants by releasing negative ions! Negative ions have also been proven to improve mood!





Refills
We also offer refills, saving you up to 50% in cost and making it a completely zero-waste product! Simply select the refill option above to get a new refill in a new each month- each scent is inspired by the month and season!",//beeluxxcandles.com/cdn/shop/files/amber1_da245bf3-5f22-4144-98cd-6b87f144ab0b_720x.jpg?v=1693686004
Bee Luxx Gift Card,1000,https://beeluxxcandles.com//collections/luxury-beeswax-candles/products/oya-luxe-gift-card,"Not sure what to buy? Buying an 'Oya Luxe' gift card would be the perfect treat!
Spoil someone special to a bit of luxury and self-care!",//beeluxxcandles.com/cdn/shop/products/giftcard_720x.png?v=1605645767
Candle Holders (for Taper Candles),1500,https://beeluxxcandles.com//collections/luxury-beeswax-candles/products/candle-holder-for-taper-candles,"Set of Three Coloured Glass Candle Holders
Choose from a variety of shapes and colours to suit your personal style and preferences!


﻿Candle Care & Advice
Only burn candles for 2-3 hours each lighting, to avoid dripping and ensure an even burn. Always burn candles safely - see full candle safety advice here. Always trim the wick(s) to 1cm every 4 hours of candle burn time, to avoid smoking. Always re-centre the wick(s) after each burn.


Benefits Of Beeswax

Beeswax has many benefits. It gives a pure clean burn and the candle flames light spectrum is similar to the Sun's rays! It also is the only candle wax with the ability to purify the air of dust and other pollutants by releasing negative ions! Negative ions have also been proven to improve mood!


View our complete luxury beeswax candle collection",//beeluxxcandles.com/cdn/shop/files/IMG-0361_29516797-9c79-4697-8e52-e5257e948459_720x.heic?v=1706557552
Caramelised Pear & Ice Cream | Autumn Scents Collection,4500,https://beeluxxcandles.com//collections/luxury-beeswax-candles/products/caramelised-pear-ice-cream-autumn-scents-collection,"The White Gloss Vogue Candle
Simple, elegant and opulent.
This 13oz beeswax candle will fill your home with 45+ hours of luxurious fragrance while showcasing sleek, beautiful style. The perfect candle for enhancing your relaxation time!



- Burn Time: 45+ hours
- Scent Throw: Medium-Large Room
- Size : H: 10.5mm Ø:9.5mm  | Wax: 13oz/400mls
- Pure cotton wicks
- View our complete luxury beeswax candle collection





Candle Care & Advice
Always burn candles for 2-4 hours each lighting, to avoid tunnelling and ensure an even burn. Always burn candles safely - see full candle safety advice here. Always trim the wick(s) to 0.5cm every 4 hours of candle burn time, to avoid smoking. Always re-centre the wick(s) after each burn.


Benefits Of Beeswax

Beeswax has so many benefits. Beeswax has so many benefits. Beeswax is the most sustainable, renewable and eco-friendly candle wax - unlike other waxes it requires no pesticides, deforestation or processing to convert into a wax! It's all natural, organic and gives a pure and longer burn with a candle flame with the light spectrum is similar to the Sun! It also is the only candle wax that able to purify the air of dust and other pollutants by releasing negative ions! Negative ions have also been proven to improve mood!




Refills
We also offer refills, saving you up to 50% in cost and making it a completely zero-waste product! Simply select the refill option above to get a new refill in a new each month- each scent is inspired by the month and season!",//beeluxxcandles.com/cdn/shop/files/IMG-1825_99b27256-21c5-4eec-a78b-49809ccb7530_720x.jpg?v=1693687958
